outlet_id,outlet_name,jurisdiction,field,proposed_value,reason,source_value,institutional_form,eligibility_status,verification_notes
IA001,La Prensa Iowa,Iowa,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | independent Spanish-language print/digital newspaper | founded 2006 by Nicaraguan immigrant journalist Lorena López; biweekly print plus digital; explicit focus on Spanish-speaking and Hispanic communities,independent Spanish-language print/digital newspaper,verified_include,Excellent immigrant-founded rural/local journalism case.
KS006,Informativo Hispano Americano,Kansas,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | historic bilingual local newspaper | Kansas Reflector reported print publication ended during COVID-19 period though Facebook remained active,historic bilingual local newspaper,exclude_inactive_archive,"Historical ecosystem case, not active core."
KS005,KC Hispanic News,Kansas,community_orientation,unclear,community orientation not explicit enough for deterministic coding,"yes | bilingual weekly newspaper based in Kansas City, Missouri | current 2026 weekly includes Kansas City, Kansas community coverage","bilingual weekly newspaper based in Kansas City, Missouri",multistate_market_case,Market-serving but not Kansas-based.
KS002,KWCH Spanish-language news program,Kansas,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language local television news program within KWCH | KWCH journalist bio states Ana Valdez launched the station's Spanish-language news program,Spanish-language local television news program within KWCH,verified_include_hosted_program,Strong hosted/network newsroom case; identify program title/schedule in deeper pass.
KS007,La Estrella,Kansas,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language weekly associated with Dodge City Daily Globe | historical Kansas Press documentation confirms publication; current 2026 status not established,Spanish-language weekly associated with Dodge City Daily Globe,pending_verification,Retain pending current verification.
KS003,La Grande 1340 AM,Kansas,journalism_intensity,unclear,journalism centrality not explicit enough for deterministic coding,"mixed_news_entertainment | Spanish-language commercial/community radio | station states mission to serve Latino community and includes local news, community events and Spanish-language sports alongside music",Spanish-language commercial/community radio,verified_include_mixed_format,Eligible mixed-format case.
KS008,La Semana,Kansas,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language edition of Garden City Telegram | historical research documents La Semana as Spanish-language version; current 2026 operation not established,Spanish-language edition of Garden City Telegram,pending_verification,Retain as historical/current-unclear.
KS001,Planeta Venus,Kansas,community_orientation,unclear,community orientation not explicit enough for deterministic coding,"yes | bilingual/Spanish digital and print newsroom | statewide digital reach and print distribution in Wichita, Emporia, Great Bend, Coffeyville, Garden City, Dodge City, Liberal and other Latino communities; independent reporting and fact-checking",bilingual/Spanish digital and print newsroom,verified_include,Excellent statewide Latino journalism case.
KS009,Wichita Journalism Collaborative,Kansas,community_orientation,mixed_orientation,multiple or insufficiently specific community signals detected,partly | journalism collaborative/intermediary | current collaborative publishes partner work including Planeta Venus and other local outlets,journalism collaborative/intermediary,classify_intermediary_host,Important infrastructure layer; do not count as immigrant outlet.
KY002,El Kentubano,Kentucky,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Cuban/Hispanic community publication with print/digital/radio elements | active Sept. 2026 edition; nearly 17 years and 200+ editions; explicit mission to serve Louisville and Lexington Hispanic community,Cuban/Hispanic community publication with print/digital/radio elements,verified_include_mixed_format,Strong Cuban diaspora/Hispanic community-media case.
KY004,Kentucky New Americans Media,Kentucky,journalism_intensity,unclear,journalism centrality not explicit enough for deterministic coding,unresolved | community-media discovery lead | Louisville immigrant-affairs materials reference KY New Americans Media but current newsroom identity/site not firmly established,community-media discovery lead,hold_unresolved,Retain for deeper identity verification.
KY003,La Voz de Kentucky,Kentucky,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | historic bilingual Spanish-English newspaper | published biweekly from 2001 to 2019; UK Libraries preserves 185 digitized issues,historic bilingual Spanish-English newspaper,exclude_inactive_archive,Important historical ecosystem case.
LA008,Crocodile Broadcasting / Mayavision,Louisiana,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language broadcast parent/host organization | operates Telemundo New Orleans Telemundo Baton Rouge Tropical 105.7 and Latino Mix 97.5; documented as major Spanish-language broadcast owner serving southeast Louisiana,Spanish-language broadcast parent/host organization,classify_host_infrastructure_not_outlet,Use as parent/host record and do not double-count separately as an outlet.
LA005,New Orleans Mới,Louisiana,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Vietnamese-language nonprofit digital community news site | site states it covers New Orleans U.S. Vietnam world affairs economy culture and Vietnamese community activity and operates as a nonprofit community service,Vietnamese-language nonprofit digital community news site,verified_include_core,Strong Vietnamese-language diaspora case; organizational details beyond self-description remain thin.
LA006,Qué Pasa Newspaper,Louisiana,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language print/digital community publication | 2026 issues publicly available; publication describes focus as art culture and entertainment in New Orleans and Lake Charles,Spanish-language print/digital community publication,borderline_retain_not_core,Retain in frame but do not count as core journalism until sustained news/public-affairs production is established.
LA006,Qué Pasa Newspaper,Louisiana,journalism_intensity,unclear,journalism centrality not explicit enough for deterministic coding,mixed | Spanish-language print/digital community publication | 2026 issues publicly available; publication describes focus as art culture and entertainment in New Orleans and Lake Charles,Spanish-language print/digital community publication,borderline_retain_not_core,Retain in frame but do not count as core journalism until sustained news/public-affairs production is established.
LA007,Saigon Nhỏ - New Orleans edition,Louisiana,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Vietnamese-language local edition/site linked to Vietnamese-American publication | site contains New Orleans Vietnamese community material and was updated at least into 2026 for classifieds; first-pass search did not establish current sustained original-news cadence,Vietnamese-language local edition/site linked to Vietnamese-American publication,pending_verification,Possible multistate/local-edition case; retain for deeper review before core inclusion.
LA003,Tropical 105.7 FM / KGLA,Louisiana,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language commercial radio station | weekday schedule includes local New Orleans news national news sports and talk/public-affairs programs; station serves Hispanic communities of southeast Louisiana,Spanish-language commercial radio station,verified_include_core,Radio case with sustained scheduled journalism; ownership linked to Crocodile Broadcasting.
LA004,VIVA NOLA Magazine,Louisiana,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | bilingual Latino/Hispanic print and digital publication | self-described print/digital bilingual publication; Latino/Hispanic perspective; active 2026 news/community coverage; independently documented as bi-monthly print outlet,bilingual Latino/Hispanic print and digital publication,verified_include_core,Journalism is mixed with lifestyle/culture and promotional content but sustained community reporting is visible.
ME002,Maine Public News Connect,Maine,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes_language_service | multilingual news initiative within Maine Public | weekly translated stories/newsletters designed with immigrant-rights and Congolese/Angolan community partners,multilingual news initiative within Maine Public,verified_include_hosted_language_product,Strong hosted language-access journalism model.
ME004,Maine Public News Connect - French,Maine,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | French-language product within Maine Public News Connect | current subscription page offers weekly French news bulletins,French-language product within Maine Public News Connect,verified_include_hosted_program,Product-level case; link to ME002.
ME005,Maine Public News Connect - Portuguese,Maine,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Portuguese-language product within Maine Public News Connect | current subscription page offers weekly Portuguese news,Portuguese-language product within Maine Public News Connect,verified_include_hosted_program,Product-level case; link to ME002.
ME003,Maine Public News Connect - Somali,Maine,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Somali-language product within Maine Public News Connect | current subscription page offers weekly Somali newscasts/newsletters,Somali-language product within Maine Public News Connect,verified_include_hosted_program,Product-level case; link to ME002.
ME006,Maine Public News Connect - Spanish,Maine,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language product within Maine Public News Connect | current subscription page offers weekly Spanish news,Spanish-language product within Maine Public News Connect,verified_include_hosted_program,Product-level case; link to ME002.
ME007,Twin Cities Media,Maine,community_orientation,unclear,community orientation not explicit enough for deterministic coding,"claims_yes | claimed multilingual local-news outlet | recent reporting raised substantial questions about fabricated staff, AI-generated content and false multilingual claims",claimed multilingual local-news outlet,exclude_unverified_authenticity,Do not include in active sampling frame without independent verification of real newsroom operation.
MD005,Brazilian Times II - Maryland circulation,Maryland,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Brazilian Portuguese newspaper based in Massachusetts with Maryland circulation | publisher states Brazilian Times II expanded to Maryland in 2019,Brazilian Portuguese newspaper based in Massachusetts with Maryland circulation,multistate_market_case,Do not count as Maryland-based; useful Brazilian diaspora market case.
MD004,El Tiempo Latino - Maryland service,Maryland,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language regional newsroom based in Washington DC | current 2026 coverage explicitly serves DC Maryland and Virginia and includes Maryland state/local reporting,Spanish-language regional newsroom based in Washington DC,multistate_market_case,Major Maryland-serving outlet but not Maryland-based.
MD003,Latin Opinion,Maryland,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Baltimore-based Spanish-language media network | WYPR interviewed founder Erick Oribio in July 2026 and identified Latin Opinion as a Baltimore-based Spanish-language media network,Baltimore-based Spanish-language media network,verified_include_with_secondary_evidence,Promising core case; direct website
MD006,Maryland Ethiopian/Amharic media lead,Maryland,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,likely_yes_if_found | unresolved diaspora-media lead | first-pass searches did not establish a distinct current Maryland-based Ethiopian/Amharic newsroom,unresolved diaspora-media lead,hold_unresolved,Retain for deeper community-radio satellite TV and diaspora-directory search; do not infer absence.
MD006,Maryland Ethiopian/Amharic media lead,Maryland,journalism_intensity,unclear,journalism centrality not explicit enough for deterministic coding,unresolved | unresolved diaspora-media lead | first-pass searches did not establish a distinct current Maryland-based Ethiopian/Amharic newsroom,unresolved diaspora-media lead,hold_unresolved,Retain for deeper community-radio satellite TV and diaspora-directory search; do not infer absence.
MD002,MarylandHispano.com,Maryland,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language statewide community portal | explicitly serves Latino/Hispanic communities across Maryland cities and counties with news,Spanish-language statewide community portal,services and events,https://www.marylandhispano.com/noticias/
MD002,MarylandHispano.com,Maryland,journalism_intensity,unclear,journalism centrality not explicit enough for deterministic coding,mixed_news_directory | Spanish-language statewide community portal | explicitly serves Latino/Hispanic communities across Maryland cities and counties with news,Spanish-language statewide community portal,services and events,https://www.marylandhispano.com/noticias/
MD001,Washington Hispanic,Maryland,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language weekly/digital newspaper | company headquarters documented in Silver Spring; founded 1994; serves Spanish-speaking DMV communities,Spanish-language weekly/digital newspaper,verified_include_with_directory_evidence,Strong Maryland-based Latino newspaper; deeper pass should use current outlet contact/about page if available.
MD007,Washington Hispanic DMV products,Maryland,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | supplement/digital products within Washington Hispanic | host publishes related community information products under same organization,supplement/digital products within Washington Hispanic,classify_hosted_product_or_duplicate,Do not double-count separately from MD001 unless product-level analysis requires it.
MA006,Boston Orange,Massachusetts,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Chinese-language community reporting publication/blog | active Sept. 2026 original reporting from Massachusetts Chinese-American community events and institutions,Chinese-language community reporting publication/blog,verified_include_mixed_format,Useful community-reporting case; deeper pass should document ownership and publication cadence.
MA003,Brazilian Times,Massachusetts,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Brazilian Portuguese print/digital/radio media organization | founded 1988; Somerville headquarters; twice-weekly New England print plus digital/radio; explicit Brazilian diaspora mission,Brazilian Portuguese print/digital/radio media organization,verified_include,Excellent Brazilian diaspora newsroom.
MA002,El Mundo Boston,Massachusetts,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | long-running Spanish-language print/digital newspaper | active Sept. 2026 weekly print editions and local/community reporting; operating since 1972,long-running Spanish-language print/digital newspaper,verified_include,Excellent longstanding Latino press case.
MA001,El Planeta,Massachusetts,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Latino/family-owned Spanish-language local newsroom within Tiempo Company | 20+ years; local focus on immigration education business and Latino empowerment; current digital/print reach statewide,Latino/family-owned Spanish-language local newsroom within Tiempo Company,verified_include,Excellent core Latino newsroom.
MA005,Khmer Post USA,Massachusetts,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Cambodian-American digital news/community outlet | active Sept. 2026 reporting on Lowell Cambodian community; UMass Lowell identifies Khmer Post USA as archive/community partner,Cambodian-American digital news/community outlet,verified_include,Strong refugee/diaspora community case.
MA008,Massachusetts multicultural radio/TV outlets,Massachusetts,journalism_intensity,unclear,journalism centrality not explicit enough for deterministic coding,mixed | state-listed multicultural media cluster | Massachusetts Governor's Office maintains current multicultural-media list including Haitian Creole Spanish Vietnamese Chinese Korean Brazilian Portuguese and other outlets,state-listed multicultural media cluster,classify_discovery_cluster_not_single_outlet,Use this as discovery source; verify individual outlets before counting.
MA007,The Boston Korea,Massachusetts,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Korean-language news organization | listed as registered news organization by Massachusetts Supreme Judicial Court with Allston location,Korean-language news organization,verified_include_with_directory_evidence,Strong lead; direct current website and newsroom structure should be added later.
MI006,Bangla Shangbad,Michigan,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,"yes | Bangladeshi community newspaper | New Michigan Media identifies publisher Iqbal Hussein, circulation 7,000 and readership over 20,000; listed as current 2026 partner",Bangladeshi community newspaper,verified_include_with_directory_evidence,Include provisionally; locate direct current site and staff/contact details in deeper pass.
MI007,Chaldean News,Michigan,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | English-language monthly/digital Chaldean community news publication owned by Chaldean Community Foundation | current Sept. 2026 issue; publication of record since 2004; community foundation ownership; staff reporting; Michigan/Iraq diaspora coverage,English-language monthly/digital Chaldean community news publication owned by Chaldean Community Foundation,verified_include,Excellent Iraqi-Chaldean diaspora case; host organization is publicly visible.
MI009,MI Asian,Michigan,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | Asian/Korean publication associated with Michigan Korean Weekly | New Michigan Media names same publisher for Michigan Korean Weekly and MI Asian; distinct editorial structure not established,Asian/Korean publication associated with Michigan Korean Weekly,classify_related_product_pending,Do not double-count until a distinct sustained publication/newsroom is confirmed.
MI012,Michigan Chronicle,Michigan,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,unclear_as_immigrant_serving | historic Black community newspaper | active 2026 Detroit journalism; New Michigan Media partner,historic Black community newspaper,comparison_or_exclude_core,Keep outside core immigrant frame unless sustained immigrant/diaspora service is demonstrated.
MI005,Michigan Korean Weekly,Michigan,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Korean-language weekly/digital newsroom | current Sept. 2026 Michigan,Korean-language weekly/digital newsroom,immigration and U.S. reporting; publisher/editor named; local address and contact; Korean-community mission,https://michigankoreans.com/about
MI010,New Michigan Media,Michigan,community_orientation,mixed_orientation,multiple or insufficiently specific community signals detected,yes | nonprofit ethnic/minority media network and intermediary | current 2026 network; 140+ ethnic/minority media connections; board of major publishers; journalism initiatives,nonprofit ethnic/minority media network and intermediary,grants,classify_intermediary_host
MI014,Polish Media Center,Michigan,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | host portal within Polish Institute of Culture & Research | The Polish Weekly is described as central pillar of the Polish Media Center; shared editorial infrastructure,host portal within Polish Institute of Culture & Research,classify_intermediary_host,Do not double-count separately from The Polish Weekly; use as host organization/infrastructure.
MI013,Sada Al-Watan,Michigan,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,"yes | Arabic-language edition/brand of The Arab American News | same Dearborn address, contact and weekly distribution structure as The Arab American News",Arabic-language edition/brand of The Arab American News,classify_duplicate_language_edition,Do not count separately from MI001; preserve as Arabic-language product/edition.
MI001,The Arab American News,Michigan,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | bilingual Arabic-English weekly newspaper | founded 1984; weekly; Dearborn headquarters; English/Arabic; current 2026 reporting; explicit Arab American audience,bilingual Arabic-English weekly newspaper,verified_include,Strong core diaspora/immigrant-serving outlet and one of Michigan's major ethnic news institutions.
MI011,The Detroit Jewish News,Michigan,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,partly | Jewish community newspaper/digital outlet | current community journalism and New Michigan Media membership,Jewish community newspaper/digital outlet,boundary_comparison,Diaspora/community comparison case
MI008,The Polish Weekly / Tygodnik Polski,Michigan,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | bilingual Polish-English digital publication within Polish Media Center | current 2026 publication; continuous tradition from Detroit Polish press; editor/staff identified; Polish Institute host,bilingual Polish-English digital publication within Polish Media Center,verified_include_hosted_program,Strong Polish diaspora case; code Polish Media Center/Polish Institute as host infrastructure.
MI002,The Yemeni American,Michigan,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Yemeni American bilingual newspaper/digital outlet | current 2026 local/community reporting; Dearborn/Hamtramck coverage; Yemeni American focus; English/Arabic publication history,Yemeni American bilingual newspaper/digital outlet,verified_include,Excellent core case with highly specific immigrant/diaspora public.
MN021,3HMONGTV / Hmong Broadcasting Company,Minnesota Verification Batch1,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | community television/digital media network | history; mission; community journalism; active news output,community television/digital media network,verified_include,Active Hmong media network with current news and community journalism.
MN019,Hmong Radio Broadcast,Minnesota Verification Batch1,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | commercial radio station | woman-owned; commercial; news/community education mission,commercial radio station,verified_include,Explicit Hmong community news and education mission; serves Twin Cities and western Wisconsin.
MN003,Hmong Times,Minnesota Verification Batch1,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | community newspaper | active site; Hmong community news,community newspaper,verified_include,Active Hmong American newspaper; institutional structure needs deeper coding.
MN006,KALY Somali American Radio,Minnesota Verification Batch1,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | community radio program hosted by Somali American Community | mission; host organization; underwriting sponsors,community radio program hosted by Somali American Community,verified_include,Somali-language radio explicitly serving Somali and East African immigrants.
MN004,Korean Quarterly,Minnesota Verification Batch1,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | 501(c)(3) nonprofit publication | staff; nonprofit status; donations; advertising; subscriptions,501(c)(3) nonprofit publication,verified_include,Strong institutional visibility on staff page.
MN002,Somali Media of Minnesota,Minnesota Verification Batch1,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | nonprofit digital newsroom | mission; immigrant-serving orientation; multilingual/home-language focus,nonprofit digital newsroom,verified_include,Founded in 2023; explicit nonprofit digital newsroom for Horn of Africa immigrants.
MN009,The Somali American,Minnesota Verification Batch1,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | print/digital community publication | media kit; circulation; Somali community orientation,print/digital community publication,verified_include,Current website active; media kit documents print/online publication serving Somali community.
MS005,El Pueblo media programs,Mississippi,community_orientation,mixed_orientation,multiple or insufficiently specific community signals detected,yes | immigrant-service organization with Spanish media activity | director has created Spanish radio programs and publishes La Noticias de MS; organization itself is service/advocacy infrastructure rather than newsroom,immigrant-service organization with Spanish media activity,classify_information_infrastructure_not_outlet,Link to MS001; do not double-count organization as outlet.
MS002,La Costa Latina - Mississippi Gulf Coast service,Mississippi,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | regional Spanish-language newspaper serving Gulf Coast markets | regional outlet provides Spanish-language coverage to Mississippi Gulf Coast but is based outside Mississippi,regional Spanish-language newspaper serving Gulf Coast markets,multistate_market_case,Do not count as Mississippi-based newsroom; retain as market-serving outlet.
MS003,Mississippi Today en Español,Mississippi,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes_language_service | Spanish-language translated stories within statewide nonprofit newsroom | Mississippi Today maintains En Español archive and published 2026 Spanish translation of immigration-enforcement coverage,Spanish-language translated stories within statewide nonprofit newsroom,verified_include_hosted_language_product,Hosted language-access product; parent newsroom is general-interest.
MS004,Vietnamese Gulf Coast community media lead,Mississippi,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,likely_yes_if_found | gap-search lead | first-pass search found substantial Vietnamese-community reporting but no distinct current Vietnamese-language newsroom,gap-search lead,hold_unresolved,Retain for deeper community/FCC/social search.
MO003,Red Latina STL,Missouri,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | bilingual Latino digital/news-magazine platform | 25-year St. Louis Latino media organization; active 2026 daily/biweekly reporting on immigration education public affairs and community life,bilingual Latino digital/news-magazine platform,verified_include_mixed_format,Strong St. Louis Latino media case.
MO007,Reyes Media Group,Missouri,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language media parent/host organization | parent organization for Dos Mundos and related Spanish-language media products,Spanish-language media parent/host organization,classify_intermediary_host,Do not double-count as an outlet.
MO006,Sehara Tribune,Missouri,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | historic Bosnian-language newspaper | launched in 2009 as St. Louis Bosnian biweekly; current 2026 operation not established,historic Bosnian-language newspaper,pending_verification,Retain as historical/current-unclear candidate.
MO005,St. Louis Bosnian,Missouri,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | digital archive/community-history platform | preserves Bosnian community stories and links to contemporary/historical articles; original newsroom structure not clearly established,digital archive/community-history platform,comparison_or_information_platform,Useful Bosnian community information infrastructure but not yet a clearly verified newsroom.
MO005,St. Louis Bosnian,Missouri,journalism_intensity,unclear,journalism centrality not explicit enough for deterministic coding,mixed_archive_curated_news | digital archive/community-history platform | preserves Bosnian community stories and links to contemporary/historical articles; original newsroom structure not clearly established,digital archive/community-history platform,comparison_or_information_platform,Useful Bosnian community information infrastructure but not yet a clearly verified newsroom.
MO004,St. Louis Chinese American News,Missouri,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | weekly bilingual Chinese-American newspaper | founded 1990; 6000 weekly copies; broad St. Louis metro distribution; explicit Chinese/Asian community mission,weekly bilingual Chinese-American newspaper,verified_include,Excellent Chinese diaspora/community case.
MT003,Independent non-English newsroom gap lead,Montana,community_orientation,unclear,community orientation not explicit enough for deterministic coding,likely_if_found | gap-search lead | LOR Foundation statewide media landscape inventory reported no Spanish-language or other non-English news and information outlets,gap-search lead,hold_unresolved,Documented first-pass gap; do not interpret as proof of total absence.
MT002,Montana Latino News / HDN Noticias Latinas,Montana,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes_language_target | Spanish-language digital site | site is active in 2026 but visible homepage is dominated by national/international syndicated and PR content with weak evidence of sustained Montana reporting,Spanish-language digital site,pending_verification,Retain candidate; deeper content sampling needed before inclusion.
MT001,Noticias Montaña,Montana,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | independent Spanish-language digital newspaper | 2021 Telemundo/NBC profile identifies Samantha Suazo as founder in 2020 and describes it as Montana's only Spanish-language local/regional news publication,independent Spanish-language digital newspaper,pending_verification,Retain as strong historical/recent lead but do not count as active core until 2026 cadence is verified.
NE003,Hola Nebraska,Nebraska,community_orientation,unclear,community orientation not explicit enough for deterministic coding,"yes | fully bilingual digital news platform | active 2026 Nebraska news; explicitly dedicated to Latino voices, stories and contributions statewide",fully bilingual digital news platform,verified_include,Strong current bilingual case.
NE006,KZUM en Español,Nebraska,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language hosted public-radio/news partnership | KZUM explicitly partners with programmers and Mundo Latino so Spanish-speaking communities can stay informed,Spanish-language hosted public-radio/news partnership,verified_include_hosted_program,Strong hosted/community-radio case.
NE002,Mundo Latino Network,Nebraska,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | immigrant-founded Spanish-language community media outlet | founded in 1999 by Mexican immigrant communications professional; explicit mission to provide locally relevant information beyond translated news,immigrant-founded Spanish-language community media outlet,verified_include,Strong immigrant-founded institutional case.
NE007,Mundo Latino on KZUM,Nebraska,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | hosted Spanish-language information/news partnership | partnership is public and current; organizational identity overlaps with NE002,hosted Spanish-language information/news partnership,classify_hosted_program_or_duplicate,Do not double-count separately from Mundo Latino unless program-level analysis requires it.
NE005,Radio Lobo,Nebraska,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language radio service within Flood Communications | shares Spanish-language media infrastructure with Telemundo Nebraska; journalism/public-affairs share not fully documented in first pass,Spanish-language radio service within Flood Communications,pending_deeper_verification,Retain and code program mix later.
NE005,Radio Lobo,Nebraska,journalism_intensity,unclear,journalism centrality not explicit enough for deterministic coding,mixed_news_entertainment | Spanish-language radio service within Flood Communications | shares Spanish-language media infrastructure with Telemundo Nebraska; journalism/public-affairs share not fully documented in first pass,Spanish-language radio service within Flood Communications,pending_deeper_verification,Retain and code program mix later.
NE004,Telemundo Nebraska,Nebraska,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language local television newsroom within Flood Communications | state's first network affiliate delivering local Spanish news; weekday 5PM and 10PM local newscasts; statewide/multimarket reach,Spanish-language local television newsroom within Flood Communications,verified_include,Strong network-affiliated comparison case.
NV010,El Mundo Las Vegas,Nevada,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | historic Spanish-language weekly | Nevada Independent reported print ceased in 2025 after 45 years,historic Spanish-language weekly,exclude_inactive_archive,"Keep as historical ecosystem case, not active-frame outlet."
NV002,El Nuevo Mundo,Nevada,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language newspaper/digital outlet | active Sept. 2026 print/digital issues; local reporting; explicit tagline serving Hispanics in Southern Nevada,Spanish-language newspaper/digital outlet,verified_include,Strong current Spanish-language community newsroom.
NV003,Entérate Vegas,Nevada,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language digital local-news outlet | current local Spanish reporting; explicitly positions itself as filling Las Vegas Spanish-news gap after El Tiempo and El Mundo print closures,Spanish-language digital local-news outlet,verified_include,Strong emerging digital Spanish-language case.
NV008,K-LasVegas / Las Vegas Korean Magazine,Nevada,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,"yes | Korean-American monthly magazine run by nonprofit media foundation | current Sept. 2026 issue; nonprofit Korean media foundation; community profiles, columns and local information",Korean-American monthly magazine run by nonprofit media foundation,verified_include_mixed_format,Useful institutional contrast with Korean newspapers; code journalism share separately.
NV005,Las Vegas Chinese Daily News,Nevada,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Chinese community newspaper/digital outlet | current Sept. 2026 site; describes itself as leading Chinese community newspaper in Las Vegas; dedicated reporters and local distribution,Chinese community newspaper/digital outlet,verified_include,Strong Chinese diaspora/local-news case.
NV006,Las Vegas Korean News,Nevada,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,"yes | Korean-language community newspaper | issue 1569 dated Sept. 14-27, 2026; extensive current print/digital publication",Korean-language community newspaper,verified_include_with_secondary_evidence,Strong current Korean-community newspaper; direct primary website/ownership should be added later.
NV012,Nevada Immigrant Coalition News,Nevada,community_orientation,mixed_orientation,multiple or insufficiently specific community signals detected,yes | immigrant advocacy coalition information channel | active 2026 news/press releases and immigrant information; organizational advocacy rather than newsroom,immigrant advocacy coalition information channel,classify_information_infrastructure_not_outlet,Do not count in core outlet frame; useful intermediary/information infrastructure later.
NV001,Philippine Times of Southern Nevada,Nevada,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | bilingual English-Tagalog Filipino-American newspaper/digital outlet | current Sept. 2026 issues; biweekly publication; local team; Filipino-American audience; print/digital subscriptions,bilingual English-Tagalog Filipino-American newspaper/digital outlet,verified_include,Excellent Filipino diaspora/community-news case.
