outlet_id,outlet_name,jurisdiction,field,proposed_value,reason,source_value,institutional_form,eligibility_status,verification_notes
FL002,Island TV,Florida,language_model,bilingual,two non-English languages detected; verify sustained dual-language output,Caribbean/Haitian television network | current 2026 Haitian Creole news,Caribbean/Haitian television network,local South Florida community reporting and Haiti-focused political/current-affairs programming,https://ondemand.islandtv.tv/news
FL002,Island TV,Florida,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Miami-Dade / South Florida | Florida,Caribbean/Haitian television network,local South Florida community reporting and Haiti-focused political/current-affairs programming,https://ondemand.islandtv.tv/news
FL002,Island TV,Florida,institutional_relationship,unclear,relationship structure not explicit enough for deterministic coding,Caribbean/Haitian television network | local South Florida community reporting and Haiti-focused political/current-affairs programming | https://ondemand.islandtv.tv/news,Caribbean/Haitian television network,local South Florida community reporting and Haiti-focused political/current-affairs programming,https://ondemand.islandtv.tv/news
FL002,Island TV,Florida,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,Caribbean/Haitian television network | https://ondemand.islandtv.tv/news,Caribbean/Haitian television network,local South Florida community reporting and Haiti-focused political/current-affairs programming,https://ondemand.islandtv.tv/news
FL001,Le Floridien,Florida,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,independent bilingual Haitian-American newspaper,independent bilingual Haitian-American newspaper,verified_include,Excellent Haitian diaspora newsroom.
FL001,Le Floridien,Florida,geographic_scope,transnational_or_diaspora,transnational/diaspora reach indicated; verify principal service geography,South Florida / Haitian diaspora | Florida,independent bilingual Haitian-American newspaper,verified_include,Excellent Haitian diaspora newsroom.
FL006,Miami Diario,Florida,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Spanish-language digital local-news outlet,Spanish-language digital local-news outlet,verified_include,Strong current Spanish-language local case.
FL006,Miami Diario,Florida,media_format,unclear,no clear primary format found,Spanish-language digital local-news outlet,Spanish-language digital local-news outlet,verified_include,Strong current Spanish-language local case.
FL006,Miami Diario,Florida,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Miami / South Florida | Florida,Spanish-language digital local-news outlet,verified_include,Strong current Spanish-language local case.
FL010,Radyo FANM / Vwa FANM,Florida,record_type,unclear,no deterministic record-type rule matched,economic empowerment,Haitian Creole community radio program hosted by Family Action Network Movement,economic empowerment,verified_include_hosted_program
FL010,Radyo FANM / Vwa FANM,Florida,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Haitian Creole community radio program hosted by Family Action Network Movement,Haitian Creole community radio program hosted by Family Action Network Movement,economic empowerment,verified_include_hosted_program
FL010,Radyo FANM / Vwa FANM,Florida,language_model,bilingual,two non-English languages detected; verify sustained dual-language output,Haitian Creole community radio program hosted by Family Action Network Movement | 2026 Little Haiti Book Festival guide documents 28-year program on WLVQ 1320 AM covering health,Haitian Creole community radio program hosted by Family Action Network Movement,economic empowerment,verified_include_hosted_program
FL010,Radyo FANM / Vwa FANM,Florida,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Miami / South Florida | Florida,Haitian Creole community radio program hosted by Family Action Network Movement,economic empowerment,verified_include_hosted_program
FL010,Radyo FANM / Vwa FANM,Florida,institutional_relationship,unclear,relationship structure not explicit enough for deterministic coding,Haitian Creole community radio program hosted by Family Action Network Movement | economic empowerment | verified_include_hosted_program,Haitian Creole community radio program hosted by Family Action Network Movement,economic empowerment,verified_include_hosted_program
FL010,Radyo FANM / Vwa FANM,Florida,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,Haitian Creole community radio program hosted by Family Action Network Movement | verified_include_hosted_program,Haitian Creole community radio program hosted by Family Action Network Movement,economic empowerment,verified_include_hosted_program
FL005,Radyo Lekol,Florida,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Haitian Creole hosted educational-news program on WLRN,Haitian Creole hosted educational-news program on WLRN,verified_include_hosted_program,Important hosted public-service language program.
FL005,Radyo Lekol,Florida,media_format,unclear,no clear primary format found,Haitian Creole hosted educational-news program on WLRN,Haitian Creole hosted educational-news program on WLRN,verified_include_hosted_program,Important hosted public-service language program.
FL005,Radyo Lekol,Florida,language_model,bilingual,two non-English languages detected; verify sustained dual-language output,Haitian Creole hosted educational-news program on WLRN | weekday 25-minute Haitian Creole news/information program produced by Miami-Dade County Public Schools,Haitian Creole hosted educational-news program on WLRN,verified_include_hosted_program,Important hosted public-service language program.
FL005,Radyo Lekol,Florida,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Miami-Dade | Florida,Haitian Creole hosted educational-news program on WLRN,verified_include_hosted_program,Important hosted public-service language program.
FL007,The Florida News,Florida,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,independent Spanish-language statewide/local digital newsroom,independent Spanish-language statewide/local digital newsroom,verified_include,Strong multi-metro Latino newsroom.
FL007,The Florida News,Florida,geographic_scope,unclear,service geography not explicit enough for deterministic coding,Miami / Orlando / Tampa / West Palm Beach | Florida,independent Spanish-language statewide/local digital newsroom,verified_include,Strong multi-metro Latino newsroom.
FL009,The Haitian Times - Florida service,Florida,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Haitian-American national/diaspora newsroom based outside Florida,Haitian-American national/diaspora newsroom based outside Florida,multistate_market_case,Do not count as Florida-based; retain as major Florida-serving diaspora outlet.
FL009,The Haitian Times - Florida service,Florida,media_format,unclear,no clear primary format found,Haitian-American national/diaspora newsroom based outside Florida,Haitian-American national/diaspora newsroom based outside Florida,multistate_market_case,Do not count as Florida-based; retain as major Florida-serving diaspora outlet.
FL009,The Haitian Times - Florida service,Florida,language_model,unclear,language output structure not explicit enough for deterministic coding,Haitian-American national/diaspora newsroom based outside Florida | substantial Haitian diaspora reporting relevant to South Florida; not Florida-based,Haitian-American national/diaspora newsroom based outside Florida,multistate_market_case,Do not count as Florida-based; retain as major Florida-serving diaspora outlet.
FL009,The Haitian Times - Florida service,Florida,geographic_scope,transnational_or_diaspora,transnational/diaspora reach indicated; verify principal service geography,South Florida market | New York / Florida market,Haitian-American national/diaspora newsroom based outside Florida,multistate_market_case,Do not count as Florida-based; retain as major Florida-serving diaspora outlet.
FL009,The Haitian Times - Florida service,Florida,institutional_relationship,same_outlet_multijurisdiction,market appearance implies cross-jurisdiction relationship but counterpart must be manually confirmed,Haitian-American national/diaspora newsroom based outside Florida | multistate_market_case | Do not count as Florida-based; retain as major Florida-serving diaspora outlet.,Haitian-American national/diaspora newsroom based outside Florida,multistate_market_case,Do not count as Florida-based; retain as major Florida-serving diaspora outlet.
FL009,The Haitian Times - Florida service,Florida,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,Haitian-American national/diaspora newsroom based outside Florida | Do not count as Florida-based; retain as major Florida-serving diaspora outlet.,Haitian-American national/diaspora newsroom based outside Florida,multistate_market_case,Do not count as Florida-based; retain as major Florida-serving diaspora outlet.
FL003,WQVN 1360,Florida,record_type,unclear,no deterministic record-type rule matched,health,Haitian community radio station,health,verified_include_mixed_format
FL003,WQVN 1360,Florida,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Haitian community radio station,Haitian community radio station,health,verified_include_mixed_format
FL003,WQVN 1360,Florida,language_model,unclear,language output structure not explicit enough for deterministic coding,Haitian community radio station | current schedule includes talk,Haitian community radio station,health,verified_include_mixed_format
FL003,WQVN 1360,Florida,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Miami / South Florida | Florida,Haitian community radio station,health,verified_include_mixed_format
FL003,WQVN 1360,Florida,institutional_relationship,unclear,relationship structure not explicit enough for deterministic coding,Haitian community radio station | health | verified_include_mixed_format,Haitian community radio station,health,verified_include_mixed_format
FL003,WQVN 1360,Florida,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,Haitian community radio station | verified_include_mixed_format,Haitian community radio station,health,verified_include_mixed_format
FL004,WSRF 1580 AM / 99.5 FM,Florida,record_type,unclear,no deterministic record-type rule matched,Fort Lauderdale and Palm Beach,Haitian-American radio station,Fort Lauderdale and Palm Beach,https://wsrf.com/about-lat/
FL004,WSRF 1580 AM / 99.5 FM,Florida,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Haitian-American radio station,Haitian-American radio station,Fort Lauderdale and Palm Beach,https://wsrf.com/about-lat/
FL004,WSRF 1580 AM / 99.5 FM,Florida,language_model,bilingual,two non-English languages detected; verify sustained dual-language output,Haitian-American radio station | over four decades; Creole/French programming; local/international news and community talk across Miami,Haitian-American radio station,Fort Lauderdale and Palm Beach,https://wsrf.com/about-lat/
FL004,WSRF 1580 AM / 99.5 FM,Florida,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,South Florida | Florida,Haitian-American radio station,Fort Lauderdale and Palm Beach,https://wsrf.com/about-lat/
FL004,WSRF 1580 AM / 99.5 FM,Florida,institutional_relationship,unclear,relationship structure not explicit enough for deterministic coding,Haitian-American radio station | Fort Lauderdale and Palm Beach | https://wsrf.com/about-lat/,Haitian-American radio station,Fort Lauderdale and Palm Beach,https://wsrf.com/about-lat/
FL004,WSRF 1580 AM / 99.5 FM,Florida,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,Haitian-American radio station | https://wsrf.com/about-lat/,Haitian-American radio station,Fort Lauderdale and Palm Beach,https://wsrf.com/about-lat/
GA001,285 South,Georgia,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,independent English-language immigrant/refugee news publication,independent English-language immigrant/refugee news publication,verified_include,Excellent immigrant-serving English-language newsroom.
GA001,285 South,Georgia,media_format,unclear,no clear primary format found,independent English-language immigrant/refugee news publication,independent English-language immigrant/refugee news publication,verified_include,Excellent immigrant-serving English-language newsroom.
GA001,285 South,Georgia,language_model,unclear,language output structure not explicit enough for deterministic coding,independent English-language immigrant/refugee news publication | active Sept. 2026; explicitly identifies itself as metro Atlanta publication centering immigrant and refugee communities,independent English-language immigrant/refugee news publication,verified_include,Excellent immigrant-serving English-language newsroom.
GA007,Atlanta Burmese Voice,Georgia,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Burmese diaspora podcast hosted by Georgia Asian Times,Burmese diaspora podcast hosted by Georgia Asian Times,verified_include_hosted_program,Program-level case; link to GA002 host.
GA007,Atlanta Burmese Voice,Georgia,language_model,unclear,language output structure not explicit enough for deterministic coding,Burmese diaspora podcast hosted by Georgia Asian Times | parent site identifies podcast for Burmese community in metro Atlanta and Southeast,Burmese diaspora podcast hosted by Georgia Asian Times,verified_include_hosted_program,Program-level case; link to GA002 host.
GA004,Atlanta Chosun Today,Georgia,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Korean-language newspaper/digital newsroom,Korean-language newspaper/digital newsroom,verified_include,Excellent Korean diaspora newsroom.
GA004,Atlanta Chosun Today,Georgia,media_format,print,print plus companion digital presence; verify whether digital is co-primary,Korean-language newspaper/digital newsroom,Korean-language newspaper/digital newsroom,verified_include,Excellent Korean diaspora newsroom.
GA004,Atlanta Chosun Today,Georgia,geographic_scope,transnational_or_diaspora,transnational/diaspora reach indicated; verify principal service geography,Duluth / Metro Atlanta | Georgia,Korean-language newspaper/digital newsroom,verified_include,Excellent Korean diaspora newsroom.
GA005,Atlanta K,Georgia,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Korean-American digital/community media outlet,Korean-American digital/community media outlet,verified_include_with_media_kit_evidence,Strong Korean community-media case; deeper pass should document ownership/team.
GA005,Atlanta K,Georgia,media_format,unclear,no clear primary format found,Korean-American digital/community media outlet,Korean-American digital/community media outlet,verified_include_with_media_kit_evidence,Strong Korean community-media case; deeper pass should document ownership/team.
GA005,Atlanta K,Georgia,language_model,unclear,language output structure not explicit enough for deterministic coding,Korean-American digital/community media outlet | 2026 media kit describes local news and issues affecting Korean-Americans in Southeast,Korean-American digital/community media outlet,verified_include_with_media_kit_evidence,Strong Korean community-media case; deeper pass should document ownership/team.
GA002,Georgia Asian Times,Georgia,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Asian-Pacific digital news/community media outlet,Asian-Pacific digital news/community media outlet,verified_include,Strong pan-Asian diaspora/community media case.
GA002,Georgia Asian Times,Georgia,media_format,unclear,no clear primary format found,Asian-Pacific digital news/community media outlet,Asian-Pacific digital news/community media outlet,verified_include,Strong pan-Asian diaspora/community media case.
GA002,Georgia Asian Times,Georgia,language_model,unclear,language output structure not explicit enough for deterministic coding,Asian-Pacific digital news/community media outlet | current 2026 site; explicitly covers multiethnic Asian-Pacific communities in Georgia and provides community voice/platform,Asian-Pacific digital news/community media outlet,verified_include,Strong pan-Asian diaspora/community media case.
GA002,Georgia Asian Times,Georgia,geographic_scope,transnational_or_diaspora,transnational/diaspora reach indicated; verify principal service geography,Metro Atlanta / statewide | Georgia,Asian-Pacific digital news/community media outlet,verified_include,Strong pan-Asian diaspora/community media case.
GA006,Georgia Korean Podcast,Georgia,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Korean diaspora podcast hosted by Georgia Asian Times,Korean diaspora podcast hosted by Georgia Asian Times,verified_include_hosted_program,Program-level case; link to GA002 host.
GA006,Georgia Korean Podcast,Georgia,language_model,unclear,language output structure not explicit enough for deterministic coding,Korean diaspora podcast hosted by Georgia Asian Times | parent site identifies dedicated podcast for Korean-American community,Korean diaspora podcast hosted by Georgia Asian Times,verified_include_hosted_program,Program-level case; link to GA002 host.
GA003,Mundo Hispánico / MundoNow,Georgia,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Atlanta-founded bilingual Latino media outlet,Atlanta-founded bilingual Latino media outlet,verified_include_multiscale,Include with note that current scale extends beyond Georgia.
GA003,Mundo Hispánico / MundoNow,Georgia,media_format,unclear,no clear primary format found,Atlanta-founded bilingual Latino media outlet,Atlanta-founded bilingual Latino media outlet,verified_include_multiscale,Include with note that current scale extends beyond Georgia.
GA003,Mundo Hispánico / MundoNow,Georgia,geographic_scope,unclear,service geography not explicit enough for deterministic coding,Atlanta / national | Georgia,Atlanta-founded bilingual Latino media outlet,verified_include_multiscale,Include with note that current scale extends beyond Georgia.
GA003,Mundo Hispánico / MundoNow,Georgia,institutional_relationship,unclear,relationship structure not explicit enough for deterministic coding,Atlanta-founded bilingual Latino media outlet | verified_include_multiscale | Include with note that current scale extends beyond Georgia.,Atlanta-founded bilingual Latino media outlet,verified_include_multiscale,Include with note that current scale extends beyond Georgia.
GA003,Mundo Hispánico / MundoNow,Georgia,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,Atlanta-founded bilingual Latino media outlet | Include with note that current scale extends beyond Georgia.,Atlanta-founded bilingual Latino media outlet,verified_include_multiscale,Include with note that current scale extends beyond Georgia.
GA008,Usapang Pinoy,Georgia,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Filipino diaspora podcast hosted by Georgia Asian Times,Filipino diaspora podcast hosted by Georgia Asian Times,verified_include_hosted_program,Program-level case; link to GA002 host.
GA008,Usapang Pinoy,Georgia,language_model,unclear,language output structure not explicit enough for deterministic coding,Filipino diaspora podcast hosted by Georgia Asian Times | parent site identifies podcast for Filipino diaspora community in metro Atlanta and Southeast,Filipino diaspora podcast hosted by Georgia Asian Times,verified_include_hosted_program,Program-level case; link to GA002 host.
GA008,Usapang Pinoy,Georgia,geographic_scope,transnational_or_diaspora,transnational/diaspora reach indicated; verify principal service geography,Metro Atlanta / Southeast | Georgia,Filipino diaspora podcast hosted by Georgia Asian Times,verified_include_hosted_program,Program-level case; link to GA002 host.
HI001,Hawaii Filipino Chronicle,Hawaii,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Filipino community newspaper,Filipino community newspaper,verified_include_core,Strong core diaspora/community press case.
HI001,Hawaii Filipino Chronicle,Hawaii,language_model,unclear,language output structure not explicit enough for deterministic coding,Filipino community newspaper | Current 2026 editions and articles; subscription page describes statewide Filipino readership and twice-monthly distribution,Filipino community newspaper,verified_include_core,Strong core diaspora/community press case.
HI001,Hawaii Filipino Chronicle,Hawaii,geographic_scope,transnational_or_diaspora,transnational/diaspora reach indicated; verify principal service geography,Waipahu / statewide | Hawaii,Filipino community newspaper,verified_include_core,Strong core diaspora/community press case.
HI005,Hawaii Hochi / Hawaii Herald,Hawaii,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,historic Japanese/Japanese American newspaper,historic Japanese/Japanese American newspaper,exclude_inactive_archival,Retain only as predecessor/archival linkage; do not count as active outlet.
HI005,Hawaii Hochi / Hawaii Herald,Hawaii,language_model,unclear,language output structure not explicit enough for deterministic coding,historic Japanese/Japanese American newspaper | Hawaii Hochi and Hawaii Herald ceased publication in December 2023; successor is The San Times,historic Japanese/Japanese American newspaper,exclude_inactive_archival,Retain only as predecessor/archival linkage; do not count as active outlet.
HI005,Hawaii Hochi / Hawaii Herald,Hawaii,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Honolulu | Hawaii,historic Japanese/Japanese American newspaper,exclude_inactive_archival,Retain only as predecessor/archival linkage; do not count as active outlet.
HI005,Hawaii Hochi / Hawaii Herald,Hawaii,institutional_relationship,successor_or_predecessor,succession/rebrand language detected,historic Japanese/Japanese American newspaper | exclude_inactive_archival | Retain only as predecessor/archival linkage; do not count as active outlet.,historic Japanese/Japanese American newspaper,exclude_inactive_archival,Retain only as predecessor/archival linkage; do not count as active outlet.
HI005,Hawaii Hochi / Hawaii Herald,Hawaii,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,historic Japanese/Japanese American newspaper | Retain only as predecessor/archival linkage; do not count as active outlet.,historic Japanese/Japanese American newspaper,exclude_inactive_archival,Retain only as predecessor/archival linkage; do not count as active outlet.
HI003,KNDI Radio,Hawaii,record_type,unclear,boundary/pending record requires manual record-type decision,pending_operational_verification,multicultural immigrant-language radio station,pending_operational_verification,Retain as important media institution but do not code fully active broadcast until return to air is verified.
HI003,KNDI Radio,Hawaii,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,multicultural immigrant-language radio station,multicultural immigrant-language radio station,pending_operational_verification,Retain as important media institution but do not code fully active broadcast until return to air is verified.
HI003,KNDI Radio,Hawaii,language_model,unclear,language output structure not explicit enough for deterministic coding,multicultural immigrant-language radio station | Station documents programming in 12 ethnic languages; February 2026 fundraiser states station went silent after losing tower site and is seeking return to air,multicultural immigrant-language radio station,pending_operational_verification,Retain as important media institution but do not code fully active broadcast until return to air is verified.
HI003,KNDI Radio,Hawaii,institutional_relationship,unclear,relationship structure not explicit enough for deterministic coding,multicultural immigrant-language radio station | pending_operational_verification | Retain as important media institution but do not code fully active broadcast until return to air is verified.,multicultural immigrant-language radio station,pending_operational_verification,Retain as important media institution but do not code fully active broadcast until return to air is verified.
HI003,KNDI Radio,Hawaii,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,multicultural immigrant-language radio station | Retain as important media institution but do not code fully active broadcast until return to air is verified.,multicultural immigrant-language radio station,pending_operational_verification,Retain as important media institution but do not code fully active broadcast until return to air is verified.
HI002,The Fil-Am Courier,Hawaii,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Filipino community monthly print/digital publication,Filipino community monthly print/digital publication,verified_include_core,Strong core inclusion.
HI002,The Fil-Am Courier,Hawaii,language_model,unclear,language output structure not explicit enough for deterministic coding,Filipino community monthly print/digital publication | Official site identifies itself as Hawaii's leading Filipino publication founded 1987 and advertises monthly statewide circulation with relevant Filipino-American content,Filipino community monthly print/digital publication,verified_include_core,Strong core inclusion.
HI004,The San Times,Hawaii,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Japanese American online community journalism project,Japanese American online community journalism project,verified_include_core,Successor project to Hawaii Herald.
HI004,The San Times,Hawaii,media_format,unclear,no clear primary format found,Japanese American online community journalism project,Japanese American online community journalism project,verified_include_core,Successor project to Hawaii Herald.
HI004,The San Times,Hawaii,language_model,unclear,language output structure not explicit enough for deterministic coding,Japanese American online community journalism project | Zentoku Foundation identifies San Times as an active initiative created after Hawaii Herald closure to sustain Japanese American journalism and cover Oahu Maui Kauai and Big Island,Japanese American online community journalism project,verified_include_core,Successor project to Hawaii Herald.
HI004,The San Times,Hawaii,institutional_relationship,successor_or_predecessor,succession/rebrand language detected,Japanese American online community journalism project | verified_include_core | Successor project to Hawaii Herald.,Japanese American online community journalism project,verified_include_core,Successor project to Hawaii Herald.
HI004,The San Times,Hawaii,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,Japanese American online community journalism project | Successor project to Hawaii Herald.,Japanese American online community journalism project,verified_include_core,Successor project to Hawaii Herald.
ID003,Idaho Office for Refugees newsletters and media,Idaho,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,refugee resettlement organization and media host,refugee resettlement organization and media host,classify_information_infrastructure_not_outlet,Link as host organization to ID002; avoid double counting.
ID003,Idaho Office for Refugees newsletters and media,Idaho,language_model,unclear,language output structure not explicit enough for deterministic coding,refugee resettlement organization and media host | Official site publishes newsletters blog resources and hosts Mosaics but organizational mission is resettlement and community support,refugee resettlement organization and media host,classify_information_infrastructure_not_outlet,Link as host organization to ID002; avoid double counting.
ID003,Idaho Office for Refugees newsletters and media,Idaho,institutional_relationship,unclear,relationship structure not explicit enough for deterministic coding,refugee resettlement organization and media host | classify_information_infrastructure_not_outlet | Link as host organization to ID002; avoid double counting.,refugee resettlement organization and media host,classify_information_infrastructure_not_outlet,Link as host organization to ID002; avoid double counting.
ID001,IdahoLatino.com,Idaho,record_type,unclear,boundary/pending record requires manual record-type decision,hold_borderline_information_portal,Spanish-language Latino information portal,hold_borderline_information_portal,Retain for deeper editorial-content review; do not yet count as core newsroom.
ID001,IdahoLatino.com,Idaho,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Spanish-language Latino information portal,Spanish-language Latino information portal,hold_borderline_information_portal,Retain for deeper editorial-content review; do not yet count as core newsroom.
ID001,IdahoLatino.com,Idaho,media_format,unclear,no clear primary format found,Spanish-language Latino information portal,Spanish-language Latino information portal,hold_borderline_information_portal,Retain for deeper editorial-content review; do not yet count as core newsroom.
ID001,IdahoLatino.com,Idaho,institutional_relationship,unclear,relationship structure not explicit enough for deterministic coding,Spanish-language Latino information portal | hold_borderline_information_portal | Retain for deeper editorial-content review; do not yet count as core newsroom.,Spanish-language Latino information portal,hold_borderline_information_portal,Retain for deeper editorial-content review; do not yet count as core newsroom.
ID001,IdahoLatino.com,Idaho,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,Spanish-language Latino information portal | Retain for deeper editorial-content review; do not yet count as core newsroom.,Spanish-language Latino information portal,hold_borderline_information_portal,Retain for deeper editorial-content review; do not yet count as core newsroom.
ID002,Mosaics,Idaho,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,hosted refugee/immigrant public-affairs podcast,hosted refugee/immigrant public-affairs podcast,verified_include_hosted_program,Strong hosted media product but parent is a service organization rather than newsroom.
ID002,Mosaics,Idaho,language_model,unclear,language output structure not explicit enough for deterministic coding,hosted refugee/immigrant public-affairs podcast | Active through July 2026 with recurring episodes centered on refugee and immigrant lived experience; presented by Idaho Office for Refugees and produced with SB Studios,hosted refugee/immigrant public-affairs podcast,verified_include_hosted_program,Strong hosted media product but parent is a service organization rather than newsroom.
IL020,Arab American News Chicago-area candidate,Illinois,record_type,unclear,boundary/pending record requires manual record-type decision,hold_unresolved,Arab-American media candidate,hold_unresolved,Retain only as unresolved discovery lead.
IL020,Arab American News Chicago-area candidate,Illinois,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Arab-American media candidate,Arab-American media candidate,hold_unresolved,Retain only as unresolved discovery lead.
IL020,Arab American News Chicago-area candidate,Illinois,media_format,unclear,no clear primary format found,Arab-American media candidate,Arab-American media candidate,hold_unresolved,Retain only as unresolved discovery lead.
IL020,Arab American News Chicago-area candidate,Illinois,language_model,unclear,language output structure not explicit enough for deterministic coding,Arab-American media candidate | no distinct current Illinois newsroom established; avoid conflating with Michigan-based Arab American News,Arab-American media candidate,hold_unresolved,Retain only as unresolved discovery lead.
IL020,Arab American News Chicago-area candidate,Illinois,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Chicago area | Illinois,Arab-American media candidate,hold_unresolved,Retain only as unresolved discovery lead.
IL020,Arab American News Chicago-area candidate,Illinois,institutional_relationship,unclear,relationship structure not explicit enough for deterministic coding,Arab-American media candidate | hold_unresolved | Retain only as unresolved discovery lead.,Arab-American media candidate,hold_unresolved,Retain only as unresolved discovery lead.
IL020,Arab American News Chicago-area candidate,Illinois,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,Arab-American media candidate | Retain only as unresolved discovery lead.,Arab-American media candidate,hold_unresolved,Retain only as unresolved discovery lead.
IL020,Arab American News Chicago-area candidate,Illinois,activity_status,active_with_limited_or_uncertain_cadence,nonstandard activity wording requires review,unresolved,Arab-American media candidate,hold_unresolved,Retain only as unresolved discovery lead.
IL001,Borderless Magazine,Illinois,language_model,bilingual,English plus one non-English language detected from descriptive fields,independent nonprofit immigration newsroom | 501(c)(3); English/Spanish; immigrant-centered mission; staff/programs/funding visible,independent nonprofit immigration newsroom,verified_include,Excellent core immigrant-journalism case.
IL001,Borderless Magazine,Illinois,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Chicago | Illinois,independent nonprofit immigration newsroom,verified_include,Excellent core immigrant-journalism case.
IL008,Chicago Chinese News / Chicago Chinese Times,Illinois,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Chinese-language weekly/digital newspaper,Chinese-language weekly/digital newspaper,verified_include,Strong Chinese-language diaspora case.
IL008,Chicago Chinese News / Chicago Chinese Times,Illinois,geographic_scope,transnational_or_diaspora,transnational/diaspora reach indicated; verify principal service geography,Chicago / Naperville | Illinois,Chinese-language weekly/digital newspaper,verified_include,Strong Chinese-language diaspora case.
IL015,Chicago Shimpo,Illinois,language_model,bilingual,English plus one non-English language detected from descriptive fields,nonprofit Japanese-English digital newspaper | founded 1945; transitioned online 2022; 501(c)(3); explicit Nikkei/U.S.-Japan community mission,nonprofit Japanese-English digital newspaper,verified_include,Strong Japanese diaspora/community case.
IL015,Chicago Shimpo,Illinois,geographic_scope,transnational_or_diaspora,transnational/diaspora reach indicated; verify principal service geography,Chicago | Illinois,nonprofit Japanese-English digital newspaper,verified_include,Strong Japanese diaspora/community case.
IL005,Chinatown Spotlight,Illinois,record_type,unclear,boundary/pending record requires manual record-type decision,hold_unresolved,Chinese community outlet candidate,hold_unresolved,Retain candidate only.
IL005,Chinatown Spotlight,Illinois,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Chinese community outlet candidate,Chinese community outlet candidate,hold_unresolved,Retain candidate only.
IL005,Chinatown Spotlight,Illinois,media_format,unclear,no clear primary format found,Chinese community outlet candidate,Chinese community outlet candidate,hold_unresolved,Retain candidate only.
IL005,Chinatown Spotlight,Illinois,language_model,unclear,language output structure not explicit enough for deterministic coding,Chinese community outlet candidate | no sufficiently specific current outlet identity confirmed,Chinese community outlet candidate,hold_unresolved,Retain candidate only.
IL005,Chinatown Spotlight,Illinois,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Chicago | Illinois,Chinese community outlet candidate,hold_unresolved,Retain candidate only.
IL005,Chinatown Spotlight,Illinois,institutional_relationship,unclear,relationship structure not explicit enough for deterministic coding,Chinese community outlet candidate | hold_unresolved | Retain candidate only.,Chinese community outlet candidate,hold_unresolved,Retain candidate only.
IL005,Chinatown Spotlight,Illinois,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,Chinese community outlet candidate | Retain candidate only.,Chinese community outlet candidate,hold_unresolved,Retain candidate only.
IL005,Chinatown Spotlight,Illinois,activity_status,active_with_limited_or_uncertain_cadence,nonstandard activity wording requires review,unresolved,Chinese community outlet candidate,hold_unresolved,Retain candidate only.
